Name,Title,Division
"Leblonde, Nicole",Chief Public Information Officer  for Health,PRESS/COS
"Fashouer, Abigail",First Deputy Press Secretary,PRESS/COS
"Brennan, Colin",Deputy Press Secretary,PRESS/COS
"Morgan, Maxwell",Deputy Press Secretary,PRESS/COS
"Michalos, Maria",Deputy Press Secretary,PRESS/COS
"Crampton-Hays, Hazel",Deputy Press Secretary,PRESS/COS
"Wells, Chyresse",Deputy Press Secretary,PRESS/COS
"Lasch, Emma",Deputy Press Secretary,PRESS/COS
"Lucia, Jessica",Deputy Press Secretary,PRESS/COS
"Polsonilli, Sandra",Executive Assistant,PRESS/COS
"Scharf, Amy",Executive Assistant,PRESS/COS
"Reisner, Mimi",Senior Advisor -- Communications,PRESS/COS
"Bibi, Elizabeth",Deputy Director of Media Relations,PRESS/COS
"Topousis, Thomas","Special Advisor to the DoC, Director of Speechwriting",PRESS/COS
"Malanowski, Jamie",Senior Speechwriter,PRESS/COS
"Laurino, Maria",Speechwriter,PRESS/COS
"Sutton, Barbara",Speechwriter,PRESS/COS
"Tillman, Andrew",Speechwriter,PRESS/COS
"Rayman, Noah",Speechwriter,PRESS/COS
"Titus, Kristen",Chief Technology & Innovation Officer,PRESS/COS
"Galasso, Valery",Senior Policy Advisor,PRESS/COS
"Shumlin, Rebecca",Digital Strategist,PRESS/COS
"Fullerton, Timothy",Director of Digital Communications,PRESS/COS
"Bowen, Diana",Videographer,PRESS/COS
"Stark, Stephanie",Social Media Editor,PRESS/COS
"Dondiego, Matthew",Digital Strategist,PRESS/COS
"Call, Kevin",Online Engagement Manager,PRESS/COS
"Wertheimer, Joel",Staff Secretary,PRESS/COS
"Morettoni, Courtney",Excelsior Fellow,PRESS/COS
"Chase, Victoria",Director of Information Services,PRESS/COS
"Flaherty, Matthew",Deputy Director of Information Services,PRESS/COS
"DeCancio, David",Deputy Director of Information Services,PRESS/COS
"Roberts, Erin",Deputy Director of Research Services,PRESS/COS
"Oldfather, Thomas",Regional Communications Coordinator,PRESS/COS
"David, Alphonso",Counsel,COUNSEL
"Toll, Sandi",First Assistant Counsel,COUNSEL
"Bernabe, Axel",Assistant Counsel,COUNSEL
"Fontaine, Nadine",Assistant Counsel,COUNSEL
"Bishop, Kevin",Assistant Counsel,COUNSEL
"Edwards, Tanisha",Assistant Counsel,COUNSEL
"Knaub, Zackary",Assistant Counsel,COUNSEL
"Pinover-Kupiec, Julia",Assistant Counsel,COUNSEL
"Perino, David",Assistant Counsel,COUNSEL
"Pratt, Terrance",Assistant Counsel,COUNSEL
"Silverman, Adam",Assistant Counsel,COUNSEL
"Rubin, Kendra",Assistant Counsel,COUNSEL
"Archambault, Jill",Assistant Counsel,COUNSEL
"Gibbon, Robert",Assistant Counsel,COUNSEL
"Murphy, Jennifer",Assistant Counsel,COUNSEL
